,Source,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score
93,BBC,?? It's a real life 'sheep dog'! https://t.co/A1LAD9ZCNm,Fri Mar 02 08:00:06 +0000 2018,0.0,0.0,1.0,0.0
94,BBC,"How beautiful is this temple in Petra, Jordan? It's survived armies and earthquakes as the Nabataeans who built it… https://t.co/Br3szxmAxN",Thu Mar 01 21:43:00 +0000 2018,0.802,0.286,0.714,0.0
95,BBC,"High-resolution photographs of this tiny seal stone, which was found in the grave of a Mycenaean soldier, uncover a… https://t.co/aE7E1pXCvT",Thu Mar 01 21:38:00 +0000 2018,-0.3818,0.0,0.874,0.126
96,BBC,"RT @bbcarts: As #Civilisations, a series 3 years in the making and featuring over 500 artworks, arrives on the @BBC, here's just one of tho…",Thu Mar 01 21:24:36 +0000 2018,0.0,0.0,1.0,0.0
97,BBC,"A greeting from roughly 37,000 years ago. ? Amazing! #Civilisations https://t.co/thqeSvamrV",Thu Mar 01 21:10:00 +0000 2018,0.7712,0.489,0.511,0.0
98,BBC,RT @simon_schama: After 3 years of work #Civilisations will at last reach all of you - it was a great labour of love and passion for @wmary…,Thu Mar 01 21:09:31 +0000 2018,0.9081,0.383,0.617,0.0
99,BBC,We've been creating and designing for thousands of years. But when and where did human creativity begin?… https://t.co/Utrh8ie6qf,Thu Mar 01 21:08:00 +0000 2018,0.5859,0.231,0.769,0.0
100,CBS,"RT @thegoodfight: It feels good to be back. ??? The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",Sun Mar 04 08:05:26 +0000 2018,0.4404,0.116,0.884,0.0
101,CBS,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",Sat Mar 03 20:55:20 +0000 2018,0.0,0.0,1.0,0.0
102,CBS,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",Fri Mar 02 22:30:01 +0000 2018,0.7096,0.247,0.753,0.0
